village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Chawolkhowa Charaihabi Gaon,291066,132.6,519,93,1,a,a,c,,,,,,1.0,No,No,No,Yes,No,No,No,Yes,Yes,c,a,b,a,a,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,8.0,0.0,0.0,20.1,0.0,0.0,104.5,0.0,104.5
Chawolkhowa N.C.,291067,375.7,1668,291,3,3,a,a,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,a,a,a,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,26.7,20.1,0.0,20.0,0.0,0.0,294.8,0.0,294.8
Shahjan Gaon No.2,291069,111.6,58,10,a,a,a,c,,,,,,1.0,Yes,No,No,Yes,No,No,Yes,No,c,c,Yes,c,a,a,c,c,c,c,a,a,Yes,c,c,c,Yes,c,c,a,No,No,No,No,0.0,48.7,0.0,40.0,3.4,1.8,0.0,15.4,0.0,15.4
Jagalani Grant No.43 F.S.,291070,498.6,1553,303,2,2,1,c,,,,,,1.0,Yes,Yes,No,Yes,Yes,No,No,Yes,c,Yes,Yes,Yes,c,Yes,c,c,c,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,66.9,0.0,0.0,80.3,13.4,0.0,307.8,0.0,307.8
Walkhabi Gaon No.1,291072,175.8,170,34,a,a,a,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,Yes,c,c,c,Yes,b,Yes,Yes,b,c,b,Yes,c,c,a,Yes,No,No,No,0.0,47.1,40.0,0.0,0.0,0.0,0.0,68.6,0.0,68.6
Walkhabi Gaon No.2,291073,289.2,772,147,1,1,1,c,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,c,c,c,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,37.1,79.6,0.0,0.0,15.0,0.0,151.8,0.0,151.8
Gabharujan Gaon,291074,129.7,328,63,1,1,b,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,c,c,b,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,17.3,0.0,0.0,0.0,0.0,0.0,109.3,0.0,109.3
Shajan Gaon No.1,291075,46.0,58,12,a,a,a,c,,,,,,1.0,No,Yes,Yes,No,No,No,Yes,No,c,c,Yes,c,c,c,c,c,c,c,a,a,Yes,c,c,c,Yes,c,a,a,No,No,No,No,0.0,2.8,0.0,0.0,14.2,2.9,0.0,26.0,0.0,26.0
Hiloibam Gaon,291076,10.1,181,38,1,a,b,c,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,a,b,b,a,a,a,Yes,b,Yes,Yes,c,c,c,a,c,Yes,b,Yes,No,No,No,0.0,0.1,0.0,6.3,2.1,0.0,0.0,1.6,0.0,1.6
Kalatomoni Gaon,291077,352.9,95,19,a,a,a,b,,,1.0,,,1.0,No,No,Yes,Yes,No,No,No,Yes,c,c,Yes,Yes,b,b,a,a,a,a,b,Yes,Yes,b,b,b,Yes,c,a,b,Yes,No,No,No,0.0,17.2,0.0,0.8,26.8,1.3,0.0,304.0,0.0,304.0
Hapekhati Gaon,291078,187.9,210,45,1,a,a,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,b,c,b,c,b,b,b,Yes,a,Yes,Yes,b,b,b,a,c,Yes,b,No,No,No,No,0.0,28.3,0.0,8.4,7.1,0.0,0.0,141.0,0.0,141.0
Lengapather Gaon,291079,114.7,396,64,2,,b,c,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,c,a,c,a,a,c,c,c,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,c,Yes,No,No,No,0.0,44.8,16.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0
