village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha,primary_school_score,middle_school_score,secondary_school_score,senior_secondary_school_score,phs_score,phc_score,hospital_allopathic_score,tap_water_score,tube_well_score,mobile_coverage_score,internet_csc_score,bus_service_score,pucca_roads_score,bank_score,pds_shop_score,anganwadi_score,asha_score,electricity_all_uses_score,amenity_score,space_per_person,capacity_score,railway_station_score,auto_score,taxi_score,national_highway_score,state_highway_score,major_district_road_score,other_district_road_score,footpaths_score,accessibility_score,non_agri_ratio,barren_ratio,forest_ratio,usable_land_ratio,environment_raw,environment_score,relocation_score,relocation_score_100,rank,slope_mean,censuscode2011_x,flood_risk,flood_class,censuscode2011_y,landslide_risk,slope_risk,safety_score,final_relocation_score,final_relocation_score_100,final_rank,hub_distance_km
Khowang Chah Co. 108 No Fs Grant,291903,386.6,2261,514,3,a,a,1,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,a,Yes,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b,b,c,Yes,a,Yes,Yes,Yes,No,No,No,0.0,9.2,2.0,0.0,205.2,0.0,0.0,170.0,0.0,170.0,1.0,0.75,0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.7083333333333334,0.1709862892525431,0.3469014966108167,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0237972064148991,0.0051733057423693,0.0,0.5307811691670977,0.763838592860838,0.7169690113301082,0.6997025097520592,69.97025097520591,1,1.0,291903,0.0,Not listed,291903.0,0.212,0.164021158627122,0.9035957682745756,0.7507090331620505,75.07090331620505,1,29.648
Hatkhula,291983,69.2,972,246,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,a,Yes,a,a,a,Yes,Yes,Yes,Yes,b,Yes,Yes,b,a,c,Yes,a,a,Yes,Yes,No,No,No,0.0,12.2,0.0,5.1,28.0,0.0,23.8,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,0.75,1.0,0.0,0.6388888888888888,0.07119341563786,0.2302553726995251,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.875,0.176300578034682,0.0,0.0,0.7485549132947976,0.8742774566473988,0.8574014754857034,0.6512663604942441,65.12663604942442,6,1.0,291983,0.0,Not listed,291983.0,0.193,0.108861271891468,0.9203277456217064,0.7293051627464193,72.93051627464193,2,33.632
Banhbari Gaon No.2,291200,38.7,7,2,a,a,a,a,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,c,a,c,a,a,a,a,a,a,a,a,Yes,a,c,b,Yes,c,a,c,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,36.9,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,0.75,0.75,1.0,0.75,0.25,0.0,0.4722222222222222,5.528571428571429,0.245053501032476,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.725,0.0,0.0,0.0,0.9534883720930232,0.9767441860465116,0.9876966886933666,0.5943582685523479,59.43582685523479,55,1.0,291200,0.0,Not listed,291200.0,0.162,0.140925235618244,0.9232149528763512,0.7237038597126644,72.37038597126644,3,25.222
Chakalia No.1,291945,261.1,1612,301,1,2,1,c,,,1.0,,,1.0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,c,a,Yes,b,a,Yes,Yes,Yes,Yes,Yes,c,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,26.7,3.5,0.0,1.6,3.4,0.0,139.1,0.0,139.1,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7361111111111112,0.1619727047146402,0.4038311546450243,1.0,0.25,0.75,1.0,0.5,0.75,1.0,1.0,0.825,0.1022596706242818,0.0134048257372654,0.0,0.0191497510532363,0.5055534278054385,0.388537325780856,0.6101930315952051,61.01930315952051,30,1.0,291945,0.0,Not listed,291945.0,0.068,0.138100177557326,0.9519799644885348,0.7050303733237985,70.50303733237985,4,38.825
Khowang Sonowal Bongali Gaon,291719,237.9,1828,380,1,2,1,1,,1.0,1.0,1.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,b,Yes,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,b,b,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,18.0,12.6,0.0,3.5,0.0,26.2,155.5,0.0,155.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.1301422319474836,0.4030782656702427,0.5,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.875,0.0756620428751576,0.0529634300126103,0.0,0.12484237074401,0.5465321563682219,0.4406452851778019,0.6875097345642323,68.75097345642322,2,1.0,291719,0.0,Not listed,291719.0,0.254,0.091191477453736,0.9055617045092528,0.7040910409979321,70.40910409979321,5,23.627
Rangswal,292230,162.0,802,155,1,a,b,b,,,,,,0.0,Yes,No,Yes,No,No,Yes,No,No,b,b,Yes,c,b,b,c,c,Yes,Yes,b,Yes,Yes,a,c,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,4.4,0.0,0.0,0.0,0.0,157.6,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.5555555555555556,0.2019950124688279,0.2904920915282659,0.25,0.5,0.5,0.25,0.25,1.0,1.0,1.0,0.625,0.0271604938271604,0.0,0.0,0.9728395061728394,0.9864197530864196,1.0,0.5990119117709554,59.901191177095534,46,1.0,292230,0.0,Not listed,292230.0,0.398,0.0857793896721218,0.8634441220655756,0.6930006717082967,69.30006717082968,6,42.198
Kuchia Khana Gaon,291097,192.5,562,129,1,1,1,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,b,a,a,a,Yes,a,a,a,Yes,b,Yes,Yes,a,b,a,Yes,b,Yes,Yes,Yes,No,No,No,0.0,5.7,0.0,4.8,180.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.75,0.5,0.75,1.0,1.0,1.0,0.0,0.5555555555555556,0.342526690391459,0.2366732425360097,0.75,0.75,1.0,0.75,0.75,0.75,1.0,1.0,0.8,0.0296103896103896,0.0,0.0,0.9366233766233768,0.9683116883116882,0.9769740463618016,0.6334520087952517,63.345200879525166,17,1.0,291097,0.0,Not listed,291097.0,0.511,0.174548620777694,0.8117902758444612,0.6904305279260572,69.04305279260572,7,6.097
Naharani 108/167 Nlr Grant,291948,322.1,2573,516,1,a,b,c,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,Yes,b,a,a,Yes,Yes,b,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,9.2,2.0,0.0,2.0,2.2,2.9,11.0,0.0,11.0,1.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.4583333333333333,0.1251846094053634,0.2886752883020604,0.5,0.75,0.75,1.0,1.0,0.5,1.0,1.0,0.85,0.0285625582117354,0.0062092517851598,0.0,0.0220428438373176,0.5091586463831108,0.3931216696551331,0.520376489339875,52.0376489339875,339,1.0,291948,0.0,Not listed,291948.0,0.044,0.0835885298043049,0.970082294039139,0.6891699901394407,68.91699901394406,8,39.557
Diroighat,291955,108.0,1090,247,1,2,1,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,c,b,Yes,a,a,a,a,Yes,Yes,Yes,b,Yes,Yes,b,c,b,Yes,a,Yes,Yes,Yes,No,No,No,0.0,16.2,3.8,12.7,2.9,1.5,3.0,65.0,0.0,65.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0.25,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.6388888888888888,0.0990825688073394,0.2880578944377182,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.85,0.15,0.0351851851851851,0.0,0.0685185185185185,0.5237037037037038,0.4116169544740974,0.5690600867264712,56.906008672647125,106,1.0,291955,0.0,Not listed,291955.0,0.051,0.125940233896494,0.9595119532207012,0.6875617980688247,68.75617980688247,9,42.443
Lazai Gaon,291176,255.2,1102,231,1,2,1,1,,,,,,1.0,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,c,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,b,Yes,Yes,Yes,Yes,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,38.2,0.0,0.0,0.0,0.0,0.0,217.0,0.0,217.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.7083333333333334,0.231578947368421,0.3483347000879334,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.1496865203761755,0.0,0.0,0.0,0.5,0.3814756671899529,0.6029621417933073,60.29621417933073,39,1.0,291176,0.0,Not listed,291176.0,0.217,0.0946718455999703,0.915965630880006,0.6856912774524787,68.56912774524787,10,21.185
