began,ended,latitude,longitude,location_description,rivers,dead,displaced,severity,magnitude
2006-05-31,2006-07-24,26.6,94.02,"India - Assam State: Barak valley. districts: Goalpara, Karimganj, Nagaon, Dhemaji, Tinsukia, Hailakandi, Cachar. Rangia, Rangapara, Majuli, Kaziranga National Park. Arunachal. 
Tripura state: Kanchanpur, West Tripura, Dharmanagar.
--Bangladesh - Sylhet,","Brahmaputra and tributaries including Madura, Barak, Longai, Singla and Kushiara.
--Bangladesh - Jamuna. Meghna and tributaries including Surma and Kushiara. Jointapur, Goainghat, Beanibazar, Companyganj, Bishwanath, Golapganj, Kanaighat and Balaganj. Ch",21.0,600000.0,1.0,6.990783
2007-06-18,2007-06-26,26.255772,94.018895,"Assam State - districts: Lakhimpur, Dhemaji, Cachar, Karimganj, Hailakandi, Darrang and Dibrugarh.  North Lakhmipur, Cachar. Barak Valley. Goalpara and Dhubri",Brahmaputra and tributaries. Kushiara,15.0,200000.0,1.0,5.828666
2007-07-12,2007-10-10,27.577302,95.262997,"Assam State - Dhemaji, Lakhimpur, Cachar, Karimganj, Hailakandi, Darrang, Morigaon, Sonitpur and Barpeta. Nalbari, Kamrup and Dibrugarh. Jorhat. Kamrup, Morigaon. Kaziranga National Park. Dhubri, Barpeta, Baksa. Sonari. Guwahati. Barak Valley. Guwahati.","Bramaputra tributaries: Kumotia, Barak, Singra, Buridihing, Subansiri, Dessang, Dhansiri, Puthimari and Beki. Kuchiara, Neamatighat, Burhidihing, Dekhow, Dhansiri-North, Jiabharali, Puthimari, Kushiara. Katakhal, Kuchiara, Buridihing, Subansiri, Disang,",96.0,11100000.0,1.0,6.974401
2007-10-17,2007-10-24,24.721405,93.970474,"Manipur - Imphal and Thoubal districts, Imphal Valley. Kiyangei, Irong Cheisaba. Moreh area",Imphal,2.0,30000.0,1.5,5.116209
2008-05-24,2008-05-28,26.4,93.75,"Large part of Assam, Dhemaji district cut-off",,0.0,0.0,1.0,5.498311
2008-06-11,2008-07-03,25.183,91.542,"Eastern India. Orissa, Assam, West Bengal, Arunachal Pradesh states.",Kelegai River,65.0,500000.0,1.5,7.082631
2008-07-05,2008-07-14,25.241,90.12,"Assam, Lakhimpur district, Orissa, West Bengal, India; Simal Khet, Tatopani, Sarkunda, Sisamjhal, Thandajala, Sarkuda, Parigaun, Siraha, Dadeldhura, Nepal",Brahmaputra,350.0,70000.0,1.5,6.80601
2008-07-20,2008-08-08,27.5,89.79,"Assam, eastern districts of Lakhimpur and Jorhat; Uttar Pradesh, Bihar, eastern Nepal",Brahmaputra,142.0,225000.0,2.0,7.055072
2008-08-30,2008-09-08,27.044,94.55,"Northern India, Bihar, Assam, Brahmaputra River",,900.0,1000000.0,1.5,6.082372
2009-07-01,2009-07-08,27.48,93.82,Assam,,0.0,500000.0,1.0,6.01368
2009-08-18,2009-08-27,26.82,94.14,Assam,,0.0,300000.0,1.0,5.858778
2010-03-24,2010-03-26,27.25,94.61,Assam,,0.0,0.0,1.0,6.483587
2010-04-18,2010-04-21,26.31,91.86,"Assam, Guwahati",,0.0,300.0,2.0,5.032458
2010-05-15,2010-06-26,26.63,93.12,Assam. Brahmaputra's tributaries Ranganadi and Singora;  30 villages under Lakhimpur and Naoboicha Revenue Circles,,0.0,10000.0,1.5,6.186319
