event_date,latitude,longitude,location_description,admin_division_name,landslide_trigger,landslide_size,fatality_count
09/05/2016 06:04:00 PM,26.324724,94.514651,"Mokochung, Nagaland, India",,rain,large,0
07/04/2017 07:39:00 PM,27.98531715,94.21263589,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",,rain,medium,0
07/04/2017 07:39:00 PM,27.97875751,94.26296826,"Daporijo-Dumporijo road, Arunachal Pradesh, India",,rain,small,0
07/01/2017 04:00:00 PM,26.3312531,94.55427723,"Chuchuyimpang, Mokokchung, Nagaland",,downpour,medium,0
08/16/2016 12:40:00 PM,26.88161,95.399897,"Longding, India",,other,small,1
04/19/2016 12:00:00 AM,26.7223,95.0243,"Techahan Ward, Mon, Nagaland, India",Nagaland,continuous_rain,medium,0
06/09/2015 12:00:00 AM,27.0987,93.816,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,continuous_rain,medium,2
06/12/2016 11:00:00 PM,27.6438,93.871,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",Arunachal Pradesh,downpour,medium,0
06/15/2008 12:00:00 AM,27.2298,94.0989,"Lakhimpur district, Bihpuria, Assam",Assam,downpour,medium,17
04/21/2010 12:00:00 AM,27.8965,96.1779,Arunachal Pradesh ,Arunāchal Pradesh,downpour,medium,12
05/08/2014 12:00:00 AM,27.9032,96.174,Lohit District of Arunachal Pradesh,Arunachal Pradesh,rain,medium,0
07/20/2010 12:00:00 AM,26.8716,94.9921,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",Nāgāland,downpour,medium,0
10/01/2014 11:00:00 AM,27.1249,93.7706,Karsingsa block point,Arunachal Pradesh,unknown,small,5
06/25/2012 12:00:00 AM,27.174,95.8011,"Tirap , Arunachal Pradesh",Arunāchal Pradesh,downpour,large,
04/08/2012 12:00:00 AM,28.4659,95.86,"Endulin Nallah, Mayodia, 17-camp, 83-camp",Arunāchal Pradesh,downpour,medium,0
08/04/2013 12:00:00 AM,26.284,94.5808,"Nanga, Nagaland",Nāgāland,continuous_rain,medium,
