village_name_pdf,circle,flood_class,pdf_page
Barahi Da-Pather,chabua,Very High (16-18),162
Dihingia Gaon,moran,Very High (16-18),162
Marani Pather,chabua,High (13-15),162
Bocha Gaon,dibrugarh east,Very High (16-18),162
Sologuri No.1,moran,Very High (16-18),162
Niz-Chabua Gaon,chabua,High (13-15),162
Alimur Gaon,dibrugarh east,Very High (16-18),162
"LENGRI, NAMDANG R.F.",moran,Very High (16-18),162
Phukanar Khat,chabua,High (13-15),162
Romai Gaon,dibrugarh east,Very High (16-18),162
Thangal No.1,moran,Very High (16-18),162
Sonipotia,chabua,High (13-15),162
Naga Chuk Pather,dibrugarh west,Very High (16-18),162
Changmai Gaon,moran,Very High (16-18),162
Hatiali T.E.,chabua,High (13-15),162
Naloni Grant No.29,dibrugarh west,Very High (16-18),162
Nakhangia Bangali gaon,tengakhat,Very High (16-18),162
Kapahuwa,chabua,High (13-15),162
Nahazar Kanwar Gaon,dibrugarh west,Very High (16-18),162
Ekorani No.2,tengakhat,Very High (16-18),162
Rong Chungi,chabua,High (13-15),162
Subha Chuk Gaon,dibrugarh west,Very High (16-18),162
Tamuli Khat Gaon,tengakhat,Very High (16-18),162
Thanai Chuk,chabua,High (13-15),162
Panitola Khowa Gaon,dibrugarh west,Very High (16-18),162
Khongia Gaon,tengakhat,Very High (16-18),162
Dinjan Satra,chabua,High (13-15),162
Lezai Miri Pather,dibrugarh west,Very High (16-18),162
"Chiringhola No,1",tengakhat,Very High (16-18),162
Baratichuk,chabua,High (13-15),162
Garudharia Gaon,dibrugarh west,Very High (16-18),162
Kuli No.1,tingkhong,Very High (16-18),162
Mudoi Gaon,chabua,High (13-15),162
Kapow Tepor Gaon,dibrugarh west,Very High (16-18),162
Kachalo,tingkhong,Very High (16-18),162
Bharalua,chabua,High (13-15),162
Changmai Gohain Gaon,dibrugarh west,Very High (16-18),162
Kheroni Pathar,tingkhong,Very High (16-18),162
Dhopabar Chuk,chabua,High (13-15),162
Lezai Gaon,dibrugarh west,Very High (16-18),163
Gondhia No.1,tingkhong,Very High (16-18),163
Chomni Gaon,chabua,High (13-15),163
Tepor Pather Gon,dibrugarh west,Very High (16-18),163
Gondhia N2,tingkhong,Very High (16-18),163
Chungi Chuk Gaon,chabua,High (13-15),163
Kala Khowa Gohai Gaon,dibrugarh west,Very High (16-18),163
Ghogulani,tingkhong,Very High (16-18),163
Garpara Konwar,chabua,High (13-15),163
Dewanbari Gaon,dibrugarh west,Very High (16-18),163
Kuli No.2,tingkhong,Very High (16-18),163
Bhardhora Bongali,chabua,High (13-15),163
Burhayar Kanwar Gaon,dibrugarh west,Very High (16-18),163
Ghalon,na,Very High (16-18),163
Wilton 22/157 ORR,chabua,High (13-15),163
Patra Gaon,dibrugarh west,Very High (16-18),163
BRAHMAPUTRA RIVER,na,Very High (16-18),163
Betmela,chabua,High (13-15),163
Rasipather No.1,moran,Very High (16-18),163
Dihingmukh R.F.,na,Very High (16-18),163
Chetia Gaon,chabua,High (13-15),163
Kuli Gaon,moran,High (13-15),163
Sologuri 9/182 NNL TP Grant Vi,moran,High (13-15),163
Kamaldai Gaon,moran,High (13-15),163
Dikhari Moran No.1,moran,High (13-15),163
Na-Khat Sonowal,moran,High (13-15),163
Khowang Chah Co 108 No. f.s.Gr,moran,High (13-15),163
Deogharia No.1,moran,High (13-15),163
Kamar Gaon,dibrugarh west,High (13-15),163
Haldhibari Bor Pather,moran,High (13-15),163
Niz Bhekulajan,tengakhat,High (13-15),163
Niz-Khanikar,dibrugarh west,High (13-15),163
Dighali Block Gaon(a),naharkatiya,High (13-15),163
Abhypuria Gaon,tengakhat,High (13-15),163
Kolatomoni Gaon,dibrugarh west,High (13-15),163
Borbam No.2,naharkatiya,High (13-15),163
Chungi Pather Gaon,tengakhat,High (13-15),163
Nibak Gaon,dibrugarh west,High (13-15),163
Nirmalia N.C.,naharkatiya,High (13-15),163
Jamuguri No.2,tingkhong,High (13-15),163
Barpather Konwar Gaon,dibrugarh west,High (13-15),163
Batonibam Habi Gaon,naharkatiya,High (13-15),163
Chewani,tingkhong,High (13-15),163
Lepat Kata Gaon,dibrugarh west,High (13-15),163
Hudupara,naharkatiya,High (13-15),163
Naga Pather,tingkhong,High (13-15),163
Thengal Gaon,dibrugarh west,High (13-15),163
Naharani Block No.1,naharkatiya,High (13-15),163
Ranga Bamuni No.2,tingkhong,High (13-15),163
Dighali Daloni Gaon,dibrugarh west,High (13-15),163
Balimora Pather,naharkatiya,High (13-15),163
Tipomia Bangali No.3,tingkhong,High (13-15),163
Binoigatia Gaon,dibrugarh west,High (13-15),163
Merbondha Gaon,naharkatiya,High (13-15),163
Sisumoria,tingkhong,High (13-15),163
Motok Gaon,dibrugarh west,High (13-15),163
Ghuguloni,naharkatiya,High (13-15),163
Tipomia Bangali No.2,tingkhong,High (13-15),163
Metakani Gaon,dibrugarh west,High (13-15),163
Rangali Pather,naharkatiya,High (13-15),163
Khowang Grant,tingkhong,High (13-15),163
Lezai Gaon Pather,dibrugarh west,High (13-15),163
Borkheremia Gaon No.2,naharkatiya,High (13-15),163
Ouguri Kapahua No.1,tingkhong,High (13-15),163
Pani Gaon,dibrugarh west,High (13-15),163
Nahrani Block No.2,naharkatiya,High (13-15),163
Kamarchuk Bakobot,tingkhong,High (13-15),163
Dibrual Dihingia Gaon,dibrugarh west,High (13-15),163
